onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	bank	n/a	0	n/a	0	0
39	24	study_trial	6	door	n/a	0	n/a	0	0
69	0	catch_trial	6	door	direction	26	right	2.9838	1
84	24	study_trial	8	subway	n/a	0	n/a	0	0
114	24	study_trial	8	subway	n/a	0	n/a	0	0
144	24	study_trial	5	truck	n/a	0	n/a	0	0
174	24	study_trial	6	door	n/a	0	n/a	0	0
204	0	catch_trial	5	truck	destination	52	truck	1.0451	1
225	24	study_trial	7	bank	n/a	0	n/a	0	0
255	24	study_trial	5	truck	n/a	0	n/a	0	0
