onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	6	tree	n/a	0	n/a	0	0
39	24	study_trial	7	mail box	n/a	0	n/a	0	0
69	0	catch_trial	7	mail box	destination	33	mail box	1.5221	1
85.5	24	study_trial	5	mail box	n/a	0	n/a	0	0
115.5	0	catch_trial	5	mail box	destination	46	mail box	1.1615	0
135	24	study_trial	7	mail box	n/a	0	n/a	0	0
165	24	study_trial	5	mail box	n/a	0	n/a	0	0
195	24	study_trial	6	tree	n/a	0	n/a	0	0
225	24	study_trial	8	tree	n/a	0	n/a	0	0
255	24	study_trial	8	tree	n/a	0	n/a	0	0
