onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	mail box	n/a	0	n/a	0	0
39	24	study_trial	6	tree	n/a	0	n/a	0	0
69	24	study_trial	8	tree	n/a	0	n/a	0	0
99	0	catch_trial	5	mail box	destination	65	mail box	1.3424	0
123	24	study_trial	6	tree	n/a	0	n/a	0	0
153	24	study_trial	5	mail box	n/a	0	n/a	0	0
183	24	study_trial	7	mail box	n/a	0	n/a	0	0
213	24	study_trial	8	tree	n/a	0	n/a	0	0
243	24	study_trial	5	mail box	n/a	0	n/a	0	0
273	0	catch_trial	6	tree	direction	13	left	1.4261	1
