onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	2	car	n/a	0	n/a	0	0
39	24	study_trial	2	car	n/a	0	n/a	0	0
69	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
99	0	catch_trial	4	car	destination	33	car	0.69086	1
115.5	24	study_trial	4	car	n/a	0	n/a	0	0
145.5	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
175.5	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
205.5	24	study_trial	4	car	n/a	0	n/a	0	0
235.5	0	catch_trial	3	jewelry store	destination	46	jewelry store	0.95092	1
255	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
