onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	2	car	n/a	0	n/a	0	0
39	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
69	0	catch_trial	1	jewelry store	destination	13	jewelry store	0.63355	1
81	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
111	24	study_trial	4	car	n/a	0	n/a	0	0
141	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
171	0	catch_trial	2	car	destination	65	car	0.8646	1
195	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
225	24	study_trial	4	car	n/a	0	n/a	0	0
255	24	study_trial	2	car	n/a	0	n/a	0	0
