onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
39	24	study_trial	4	car	n/a	0	n/a	0	0
69	0	catch_trial	2	car	destination	65	car	0.89522	1
93	24	study_trial	4	car	n/a	0	n/a	0	0
123	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
153	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
183	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
213	0	catch_trial	3	jewelry store	destination	13	jewelry store	1.6644	1
225	24	study_trial	2	car	n/a	0	n/a	0	0
255	24	study_trial	2	car	n/a	0	n/a	0	0
