onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	2	car	n/a	0	n/a	0	0
39	24	study_trial	2	car	n/a	0	n/a	0	0
69	24	study_trial	4	car	n/a	0	n/a	0	0
99	24	study_trial	4	car	n/a	0	n/a	0	0
129	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
159	0	catch_trial	2	car	destination	52	car	1.1286	1
180	0	catch_trial	1	jewelry store	destination	26	jewelry store	0.80099	1
195	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
225	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
255	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
