onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
39	24	study_trial	2	car	n/a	0	n/a	0	0
69	0	catch_trial	4	car	direction	59	right	1.1953	1
91.5	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
121.5	24	study_trial	2	car	n/a	0	n/a	0	0
151.5	24	study_trial	4	car	n/a	0	n/a	0	0
181.5	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
211.5	0	catch_trial	4	car	destination	20	jewelry store	1.3902	0
225	24	study_trial	4	car	n/a	0	n/a	0	0
255	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
