onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
39	24	study_trial	2	car	n/a	0	n/a	0	0
69	0	catch_trial	2	car	direction	52	left	2.9977	1
90	24	study_trial	4	car	n/a	0	n/a	0	0
120	24	study_trial	4	car	n/a	0	n/a	0	0
150	0	catch_trial	1	jewelry store	direction	26	left	2.5039	1
165	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
195	24	study_trial	2	car	n/a	0	n/a	0	0
225	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
255	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
