onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	4	car	n/a	0	n/a	0	0
39	0	catch_trial	1	jewelry store	destination	26	jewelry store	1.9363	1
54	0	catch_trial	3	jewelry store	direction	52	right	1.2649	1
75	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
105	24	study_trial	2	car	n/a	0	n/a	0	0
135	24	study_trial	2	car	n/a	0	n/a	0	0
165	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
195	24	study_trial	4	car	n/a	0	n/a	0	0
225	24	study_trial	3	jewelry store	n/a	0	n/a	0	0
255	24	study_trial	1	jewelry store	n/a	0	n/a	0	0
