onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	2	restaurant	n/a	0	n/a	0	0
39	24	study_trial	1	nail salon	n/a	0	n/a	0	0
69	0	catch_trial	3	car	destination	13	car	1.0549	1
81	0	catch_trial	2	restaurant	direction	65	left	0	0
105	24	study_trial	3	car	n/a	0	n/a	0	0
135	24	study_trial	2	restaurant	n/a	0	n/a	0	0
165	24	study_trial	3	car	n/a	0	n/a	0	0
195	24	study_trial	4	call box	n/a	0	n/a	0	0
225	24	study_trial	1	nail salon	n/a	0	n/a	0	0
255	24	study_trial	4	call box	n/a	0	n/a	0	0
