onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	2	restaurant	n/a	0	n/a	0	0
39	0	catch_trial	4	call box	destination	52	car	2.1119	0
60	24	study_trial	1	nail salon	n/a	0	n/a	0	0
90	24	study_trial	3	car	n/a	0	n/a	0	0
120	24	study_trial	3	car	n/a	0	n/a	0	0
150	24	study_trial	4	call box	n/a	0	n/a	0	0
180	24	study_trial	1	nail salon	n/a	0	n/a	0	0
210	24	study_trial	2	restaurant	n/a	0	n/a	0	0
240	24	study_trial	4	call box	n/a	0	n/a	0	0
270	0	catch_trial	1	nail salon	direction	26	n/a	0	0
