onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	mail box	n/a	0	n/a	0	0
39	0	catch_trial	6	tree	direction	39	left	1.8551	1
57	24	study_trial	5	mail box	n/a	0	n/a	0	0
87	24	study_trial	6	tree	n/a	0	n/a	0	0
117	24	study_trial	6	tree	n/a	0	n/a	0	0
147	24	study_trial	5	mail box	n/a	0	n/a	0	0
177	0	catch_trial	7	mail box	destination	39	mail box	1.4694	1
195	24	study_trial	8	tree	n/a	0	n/a	0	0
225	24	study_trial	8	tree	n/a	0	n/a	0	0
255	24	study_trial	7	mail box	n/a	0	n/a	0	0
