onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	1	nail salon	n/a	0	n/a	0	0
39	24	study_trial	2	restaurant	n/a	0	n/a	0	0
69	24	study_trial	3	car	n/a	0	n/a	0	0
99	0	catch_trial	4	call box	direction	13	left	1.7172	1
111	24	study_trial	3	car	n/a	0	n/a	0	0
141	24	study_trial	4	call box	n/a	0	n/a	0	0
171	24	study_trial	1	nail salon	n/a	0	n/a	0	0
201	0	catch_trial	3	car	direction	65	right	2.3418	0
225	24	study_trial	2	restaurant	n/a	0	n/a	0	0
255	24	study_trial	4	call box	n/a	0	n/a	0	0
