onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	mail box	n/a	0	n/a	0	0
39	0	catch_trial	5	mail box	direction	39	left	1.0435	1
57	24	study_trial	5	mail box	n/a	0	n/a	0	0
87	24	study_trial	7	mail box	n/a	0	n/a	0	0
117	24	study_trial	6	tree	n/a	0	n/a	0	0
147	24	study_trial	8	tree	n/a	0	n/a	0	0
177	24	study_trial	5	mail box	n/a	0	n/a	0	0
207	24	study_trial	8	tree	n/a	0	n/a	0	0
237	0	catch_trial	6	tree	destination	39	mail box	1.7547	0
255	24	study_trial	6	tree	n/a	0	n/a	0	0
