onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	6	tree	n/a	0	n/a	0	0
39	24	study_trial	8	tree	n/a	0	n/a	0	0
69	24	study_trial	6	tree	n/a	0	n/a	0	0
99	24	study_trial	5	mail box	n/a	0	n/a	0	0
129	0	catch_trial	5	mail box	destination	59	mail box	1.8313	0
151.5	24	study_trial	7	mail box	n/a	0	n/a	0	0
181.5	24	study_trial	8	tree	n/a	0	n/a	0	0
211.5	24	study_trial	5	mail box	n/a	0	n/a	0	0
241.5	0	catch_trial	8	tree	direction	20	right	1.5445	1
255	24	study_trial	7	mail box	n/a	0	n/a	0	0
