onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	bank	n/a	0	n/a	0	0
39	0	catch_trial	6	door	direction	52	left	1.8269	1
60	24	study_trial	8	subway	n/a	0	n/a	0	0
90	24	study_trial	6	door	n/a	0	n/a	0	0
120	24	study_trial	7	bank	n/a	0	n/a	0	0
150	24	study_trial	6	door	n/a	0	n/a	0	0
180	24	study_trial	5	truck	n/a	0	n/a	0	0
210	0	catch_trial	7	bank	destination	26	n/a	0	0
225	24	study_trial	5	truck	n/a	0	n/a	0	0
255	24	study_trial	8	subway	n/a	0	n/a	0	0
