onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	0	catch_trial	6	tree	direction	26	left	1.104	1
24	24	study_trial	6	tree	n/a	0	n/a	0	0
54	24	study_trial	8	tree	n/a	0	n/a	0	0
84	24	study_trial	8	tree	n/a	0	n/a	0	0
114	24	study_trial	5	mail box	n/a	0	n/a	0	0
144	0	catch_trial	7	mail box	destination	52	mail box	0.95434	1
165	24	study_trial	7	mail box	n/a	0	n/a	0	0
195	24	study_trial	5	mail box	n/a	0	n/a	0	0
225	24	study_trial	6	tree	n/a	0	n/a	0	0
255	24	study_trial	7	mail box	n/a	0	n/a	0	0
