onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	8	subway	n/a	0	n/a	0	0
39	0	catch_trial	8	subway	direction	59	left	0.99305	1
61.5	24	study_trial	6	door	n/a	0	n/a	0	0
91.5	24	study_trial	6	door	n/a	0	n/a	0	0
121.5	24	study_trial	5	truck	n/a	0	n/a	0	0
151.5	24	study_trial	8	subway	n/a	0	n/a	0	0
181.5	0	catch_trial	6	door	destination	20	door	1.7269	1
195	24	study_trial	7	bank	n/a	0	n/a	0	0
225	24	study_trial	7	bank	n/a	0	n/a	0	0
255	24	study_trial	5	truck	n/a	0	n/a	0	0
