onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	mail box	n/a	0	n/a	0	0
39	24	study_trial	6	tree	n/a	0	n/a	0	0
69	24	study_trial	8	tree	n/a	0	n/a	0	0
99	0	catch_trial	8	tree	destination	65	tree	1.33	0
123	0	catch_trial	7	mail box	destination	13	mail box	1.3216	1
135	24	study_trial	5	mail box	n/a	0	n/a	0	0
165	24	study_trial	7	mail box	n/a	0	n/a	0	0
195	24	study_trial	8	tree	n/a	0	n/a	0	0
225	24	study_trial	5	mail box	n/a	0	n/a	0	0
255	24	study_trial	6	tree	n/a	0	n/a	0	0
