onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	mail box	n/a	0	n/a	0	0
39	24	study_trial	5	mail box	n/a	0	n/a	0	0
69	24	study_trial	6	tree	n/a	0	n/a	0	0
99	0	catch_trial	6	tree	direction	52	left	1.4468	1
120	0	catch_trial	8	tree	direction	26	right	1.2966	1
135	24	study_trial	6	tree	n/a	0	n/a	0	0
165	24	study_trial	5	mail box	n/a	0	n/a	0	0
195	24	study_trial	8	tree	n/a	0	n/a	0	0
225	24	study_trial	7	mail box	n/a	0	n/a	0	0
255	24	study_trial	8	tree	n/a	0	n/a	0	0
