onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	mail box	n/a	0	n/a	0	0
39	0	catch_trial	5	mail box	destination	52	mail box	2.4579	0
60	24	study_trial	5	mail box	n/a	0	n/a	0	0
90	24	study_trial	6	tree	n/a	0	n/a	0	0
120	0	catch_trial	5	mail box	destination	26	tree	2.9634	0
135	24	study_trial	5	mail box	n/a	0	n/a	0	0
165	24	study_trial	6	tree	n/a	0	n/a	0	0
195	24	study_trial	8	tree	n/a	0	n/a	0	0
225	24	study_trial	7	mail box	n/a	0	n/a	0	0
255	24	study_trial	8	tree	n/a	0	n/a	0	0
