onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	7	bank	n/a	0	n/a	0	0
39	24	study_trial	8	subway	n/a	0	n/a	0	0
69	24	study_trial	5	truck	n/a	0	n/a	0	0
99	24	study_trial	5	truck	n/a	0	n/a	0	0
129	24	study_trial	6	door	n/a	0	n/a	0	0
159	0	catch_trial	7	bank	destination	52	bank	1.5322	1
180	24	study_trial	8	subway	n/a	0	n/a	0	0
210	24	study_trial	7	bank	n/a	0	n/a	0	0
240	0	catch_trial	5	truck	destination	26	truck	1.3828	1
255	24	study_trial	6	door	n/a	0	n/a	0	0
