onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	6	door	n/a	0	n/a	0	0
39	24	study_trial	7	bank	n/a	0	n/a	0	0
69	24	study_trial	5	truck	n/a	0	n/a	0	0
99	24	study_trial	8	subway	n/a	0	n/a	0	0
129	24	study_trial	5	truck	n/a	0	n/a	0	0
159	0	catch_trial	7	bank	destination	20	bank	1.8584	1
172.5	24	study_trial	8	subway	n/a	0	n/a	0	0
202.5	24	study_trial	7	bank	n/a	0	n/a	0	0
232.5	24	study_trial	6	door	n/a	0	n/a	0	0
262.5	0	catch_trial	6	door	destination	59	truck	1.6689	0
