onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	8	subway	n/a	0	n/a	0	0
39	24	study_trial	6	door	n/a	0	n/a	0	0
69	24	study_trial	7	bank	n/a	0	n/a	0	0
99	0	catch_trial	8	subway	direction	59	left	1.7241	1
121.5	0	catch_trial	8	subway	direction	20	right	1.4503	1
135	24	study_trial	6	door	n/a	0	n/a	0	0
165	24	study_trial	5	truck	n/a	0	n/a	0	0
195	24	study_trial	7	bank	n/a	0	n/a	0	0
225	24	study_trial	8	subway	n/a	0	n/a	0	0
255	24	study_trial	5	truck	n/a	0	n/a	0	0
