onset	duration	trial_type	route_number	destination	test_type	test_picture	test_response	test_RT	test_correct
9	24	study_trial	1	nail salon	n/a	0	n/a	0	0
39	24	study_trial	4	call box	n/a	0	n/a	0	0
69	24	study_trial	1	nail salon	n/a	0	n/a	0	0
99	0	catch_trial	2	restaurant	direction	20	right	2.2838	1
112.5	24	study_trial	3	car	n/a	0	n/a	0	0
142.5	0	catch_trial	2	restaurant	direction	59	right	1.5292	1
165	24	study_trial	2	restaurant	n/a	0	n/a	0	0
195	24	study_trial	4	call box	n/a	0	n/a	0	0
225	24	study_trial	3	car	n/a	0	n/a	0	0
255	24	study_trial	2	restaurant	n/a	0	n/a	0	0
